"institution_short","course_code_norm","year","hv","url","status","ok","bytes","sha1"
"uit","PFF-2024-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/PFF-2024",200,TRUE,940105,"e70de2627bc4a95b1aa507a34c4ae51a70276983"
"uit","PFF-2025-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/PFF-2025",200,TRUE,939048,"10185f3966e40d0d993571e9a45fe52fb0a01ac9"
"uit","LER-1123-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-1123",200,TRUE,936151,"2d50552baa3c58fd73fdd9873f7ba8b23ec3e2b9"
"uit","PFF-2026-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/PFF-2026",200,TRUE,936437,"786f662b9fec0a9a7ceabbd2f5324d8f5fa82252"
"uit","PFF-2027-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/PFF-2027",200,TRUE,939662,"197de38b42a7817ba653ff01d8a9ab66c656b0de"
"uit","PFF-2028-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/PFF-2028",200,TRUE,939141,"d655ea24f353ad490a9a99bf3efd6e178d2c0273"
"uit","PFF-2029-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/PFF-2029",200,TRUE,938913,"be02d0d536ff0d4cb265b82fbffee308034ca5ee"
"uit","PFF-2030-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/PFF-2030",200,TRUE,936475,"fd7b28444f65fd31892f781a4371a5395f5af4f5"
"uit","LER-1223-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-1223",200,TRUE,938127,"dbfce7d14170b47c239b8f74f7e1fff1261b5c55"
"uit","NOR-2980-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/NOR-2980",200,TRUE,935927,"6ab1a25d720831fbd8660e65de876008296ab021"
"uit","NOR-2981-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/NOR-2981",200,TRUE,936345,"6ef90790968014b422177221105ca8a1136b42a7"
"uit","FORGLU-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/FORGLU",200,TRUE,905433,"d82fc07c7448a4ddd0d4ae252f5067d0c709d38f"
"uit","LER-3051-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3051",200,TRUE,936733,"2e23c94b0454d9172ab312bf5152ed2f64f9ba81"
"uit","LER-3050-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3050",200,TRUE,938605,"b6f720df2035d967b6665acf76beb0a41f8fd396"
"uit","LER-3011-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3011",200,TRUE,940033,"fc7238c8b468e924133af7b1ff3b2156370de136"
"uit","LER-3001-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3001",200,TRUE,940089,"548cfd93696b992bb7e8459f0cc7b636395725ad"
"uit","LER-3201-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3201",200,TRUE,936003,"e475d64b4bbd53835facfc2be8b68dcdaea16cb2"
"uit","LER-3200-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3200",200,TRUE,937725,"60e2f8159899d01f3344f3a635cd8d2a556959ed"
"uit","LER-3151-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3151",200,TRUE,936651,"871ebc253d855ec6006a8517683d070a35514f4d"
"uit","LER-3150-1",NA,NA,"https://uit.no/utdanning/aktivt/emne/LER-3150",200,TRUE,935902,"86d12a60427e1fc9372cb3b12d25826522a94e2d"
