"institution_short","course_code_norm","year","hv","url","status","ok","bytes","sha1"
"usn","MG2MU1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2MU1_1_2026_V%C3%85R",200,TRUE,379862,"b54668ee01675d884cb13a13bf9ffd690fe625ac"
"usn","MG2MU2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2MU2_1_2026_V%C3%85R",200,TRUE,379862,"230cf8fa3ab485eb55ad43f9d5742ffd29be06b7"
"usn","MG2NA1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NA1_1_2026_V%C3%85R",200,TRUE,379862,"e8e5904bfbc172fe8aad89f15ab7866178a2e9ad"
"usn","MG2NA2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NA2_1_2026_V%C3%85R",200,TRUE,379862,"bf39aad732e35e24a9c0fc42e7f96112215a8c73"
"usn","MG2NO1-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NO1_2_2026_V%C3%85R",200,TRUE,379862,"7f74d641dd3f2c9ab3f6620debcb95cef1a24e45"
"usn","MG2NO2-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NO2_2_2026_V%C3%85R",200,TRUE,379862,"a5f24490f025d7581e8f9bc3cd03a024ba1a7fc5"
"usn","MG2NO3-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2NO3_2_2026_V%C3%85R",200,TRUE,379862,"a4d75d5719fcf656ea9d53e6c264015a1ae32661"
"usn","MG2PE1-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PE1_2_2026_V%C3%85R",200,TRUE,379862,"75b3f5f668d37bec99b1146cd33da5d4d2676de5"
"usn","MG2PE2-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PE2_2_2026_V%C3%85R",200,TRUE,379862,"6433db1ade2024a474cfe402f15b401c36cbf716"
"usn","MG2PE3-2",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PE3_2_2026_V%C3%85R",200,TRUE,379862,"addc36512d43394a4f9a165f0fed3802991ef454"
"usn","MG2PP1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PP1_1_2026_V%C3%85R",200,TRUE,379862,"3abd72077385c2a75a4d21ba02d25275799c185a"
"usn","MG2PP2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PP2_1_2026_V%C3%85R",200,TRUE,379862,"984b99bf451cfbcbce04e5dd4cfdc13ebd38fc6f"
"usn","MG2PR1-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PR1_1_2026_V%C3%85R",200,TRUE,379862,"c1af7299fd625e66197f92fd108f769f16adb5a2"
"usn","MG2PR2-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PR2_1_2026_V%C3%85R",200,TRUE,379862,"28efd67ac7c41117ce097d105de935640ed589f1"
"usn","MG2PR3-1",2026,"V","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG2PR3_1_2026_V%C3%85R",200,TRUE,379862,"5a9a7b55827c08cc12d08a11c234132ea6ac49bb"
"usn","MG1KH6-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1KH6_1_2025_H%C3%98ST",200,TRUE,379864,"4022b7add2fbf39981735ce3b2abd81a2656c518"
"usn","MG1KH5-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1KH5_1_2025_H%C3%98ST",200,TRUE,379864,"5358c8deed9a379e37ad7678a6d77d949f075b6f"
"usn","MG1KH4-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1KH4_1_2025_H%C3%98ST",200,TRUE,379864,"02cd50cb3241304238fc194163a2101300e160ae"
"usn","MG1BO3-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1BO3_1_2025_H%C3%98ST",200,TRUE,379864,"ecae6448bb91a727ab112dbf0ca5ac67e14302ab"
"usn","MG1BO2-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1BO2_1_2025_H%C3%98ST",200,TRUE,379864,"0cd906261bf4c7111e7860d88673fd3dbd7530e1"
"usn","MG1BO1-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/MG1BO1_1_2025_H%C3%98ST",200,TRUE,379864,"6a7edcb1005703e3dd19b204ffe7ba91e54e8410"
"usn","LUPEPRA1-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/LUPEPRA1_1_2025_H%C3%98ST",200,TRUE,379868,"02078ffde8d061e0ae3a27225134111b7be37b60"
"usn","LUPEPRA2-1",2025,"H","https://www.usn.no/studier/studie-og-emneplaner/#/emne/LUPEPRA2_1_2025_H%C3%98ST",200,TRUE,379868,"5fe1d0a7c363076e675fe5745fa7a9f2bc5d957e"
